99,-20.0
103,-21.0
101,-21.0
101,-21.0
100,-21.0
104,-21.0
102,-18.0
102,-21.0
101,-20.0
105,-21.0
103,-21.0
103,-21.0
102,-20.0
106,-19.0
104,-19.0
104,-21.0
103,-20.0
107,-21.0
105,-20.0
105,-21.0
108,-21.0
104,-21.0
106,-20.0
106,-21.0
109,-20.0
105,-21.0
107,-21.0
107,-21.0
110,-21.0
108,-20.0
106,-20.0
108,-21.0
111,-21.0
109,-20.0
107,-21.0
109,-21.0
112,-19.0
110,-20.0
108,-20.0
110,-20.0
113,-20.0
111,-21.0
109,-20.0
111,-21.0
114,-19.0
112,-21.0
110,-20.0
112,-19.0
113,-21.0
115,-19.0
111,-21.0
113,-19.0
114,-21.0
116,-20.0
112,-21.0
114,-17.0
115,-19.0
117,-19.0
113,-21.0
115,-20.0
114,-21.0
116,-20.0
118,-20.0
116,-21.0
115,-19.0
117,-20.0
119,-18.0
117,-21.0
118,-21.0
116,-21.0
120,-21.0
118,-21.0
117,-21.0
119,-19.0
121,-20.0
119,-21.0
118,-20.0
120,-21.0
122,-19.0
120,-20.0
121,-21.0
119,-20.0
123,-20.0
122,-19.0
121,-21.0
120,-20.0
124,-21.0
123,-20.0
122,-21.0
121,-20.0
125,-19.0
124,-20.0
123,-21.0
122,-20.0
126,-20.0
124,-21.0
125,-18.0
123,-20.0
127,-20.0
125,-19.0
124,-21.0
126,-20.0
128,-21.0
125,-21.0
126,-21.0
127,-21.0
129,-20.0
126,-21.0
127,-20.0
128,-19.0
130,-21.0
127,-21.0
131,-21.0
128,-20.0
129,-20.0
128,-19.0
132,-20.0
129,-21.0
130,-21.0
129,-20.0
133,-21.0
130,-20.0
131,-20.0
134,-21.0
130,-20.0
131,-21.0
132,-19.0
132,-20.0
135,-20.0
131,-20.0
133,-18.0
133,-21.0
136,-21.0
132,-20.0
134,-21.0
134,-20.0
137,-19.0
133,-21.0
135,-19.0
138,-21.0
135,-19.0
134,-21.0
136,-21.0
139,-19.0
135,-20.0
136,-18.0
137,-21.0
140,-20.0
136,-20.0
137,-20.0
138,-21.0
141,-21.0
137,-21.0
139,-21.0
138,-21.0
142,-21.0
138,-21.0
140,-21.0
139,-20.0
143,-21.0
139,-21.0
141,-20.0
140,-20.0
144,-21.0
140,-21.0
142,-21.0
141,-20.0
145,-21.0
141,-21.0
143,-21.0
146,-21.0
142,-19.0
142,-21.0
144,-21.0
147,-20.0
143,-21.0
143,-19.0
145,-21.0
148,-20.0
144,-20.0
146,-21.0
144,-20.0
149,-20.0
147,-21.0
145,-21.0
145,-20.0
150,-20.0
148,-21.0
146,-19.0
146,-21.0
151,-21.0
149,-20.0
147,-20.0
152,-21.0
147,-21.0
150,-21.0
153,-20.0
148,-21.0
148,-21.0
151,-20.0
154,-21.0
149,-21.0
149,-21.0
152,-21.0
150,-21.0
155,-19.0
150,-21.0
153,-21.0
151,-21.0
151,-20.0
156,-20.0
154,-21.0
152,-21.0
157,-21.0
152,-21.0
155,-21.0
153,-20.0
158,-20.0
156,-21.0
153,-21.0
154,-19.0
159,-19.0
157,-19.0
154,-19.0
155,-20.0
158,-20.0
160,-20.0
155,-21.0
159,-20.0
156,-19.0
161,-21.0
156,-18.0
162,-21.0
157,-21.0
160,-18.0
157,-20.0
163,-19.0
158,-21.0
161,-20.0
158,-21.0
159,-21.0
164,-21.0
159,-20.0
162,-21.0
160,-20.0
165,-21.0
160,-20.0
163,-21.0
161,-20.0
166,-20.0
161,-21.0
164,-21.0
167,-21.0
162,-21.0
162,-18.0
165,-21.0
168,-20.0
163,-19.0
163,-20.0
166,-20.0
169,-20.0
164,-20.0
164,-21.0
167,-21.0
170,-21.0
165,-20.0
165,-21.0
168,-21.0
171,-20.0
166,-21.0
169,-21.0
166,-21.0
167,-21.0
172,-20.0
170,-21.0
167,-19.0
173,-21.0
168,-19.0
171,-21.0
168,-20.0
169,-21.0
174,-19.0
172,-20.0
169,-21.0
170,-21.0
175,-21.0
173,-21.0
170,-21.0
171,-21.0
176,-21.0
171,-20.0
174,-20.0
172,-21.0
177,-20.0
172,-21.0
175,-21.0
173,-21.0
178,-21.0
173,-20.0
176,-19.0
179,-21.0
174,-20.0
174,-19.0
177,-21.0
180,-21.0
175,-19.0
175,-21.0
178,-19.0
181,-21.0
176,-20.0
176,-18.0
182,-20.0
179,-19.0
177,-19.0
183,-21.0
177,-21.0
180,-21.0
178,-21.0
178,-21.0
184,-21.0
181,-21.0
179,-19.0
179,-18.0
185,-20.0
182,-21.0
180,-21.0
180,-21.0
186,-21.0
183,-20.0
181,-20.0
187,-20.0
181,-20.0
184,-20.0
182,-19.0
188,-20.0
185,-20.0
182,-20.0
183,-21.0
189,-20.0
186,-21.0
183,-21.0
184,-21.0
190,-21.0
187,-21.0
184,-21.0
185,-21.0
191,-19.0
185,-20.0
188,-20.0
186,-21.0
192,-20.0
186,-19.0
189,-20.0
187,-20.0
193,-21.0
187,-21.0
190,-21.0
188,-20.0
194,-20.0
191,-20.0
188,-15.0
189,-20.0
192,-21.0
195,-19.0
190,-21.0
189,-19.0
193,-21.0
196,-19.0
191,-20.0
190,-21.0
194,-21.0
197,-21.0
191,-20.0
192,-20.0
195,-21.0
198,-21.0
192,-21.0
196,-19.0
193,-20.0
199,-20.0
193,-20.0
194,-21.0
197,-18.0
200,-21.0
194,-21.0
195,-21.0
201,-21.0
198,-20.0
195,-18.0
196,-21.0
202,-20.0
199,-18.0
196,-19.0
197,-20.0
203,-21.0
200,-20.0
198,-21.0
197,-20.0
204,-20.0
201,-21.0
199,-20.0
198,-20.0
205,-21.0
202,-19.0
200,-21.0
